Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2023,01,18,02,00,00,443.22665
2023,01,18,03,00,00,440.31013
2023,01,18,04,00,00,418.72049
2023,01,18,05,00,00,363.449
2023,01,18,06,00,00,305.68001
2023,01,18,07,00,00,363.48955
2023,01,18,08,00,00,445.3749
2023,01,18,09,00,00,262.35957
2023,01,18,10,00,00,299.45767
2023,01,18,11,00,00,484.86084
2023,01,18,12,00,00,471.01335
2023,01,18,13,00,00,584.83466
2023,01,18,14,00,00,888.34182
2023,01,18,15,00,00,833.2713
2023,01,18,16,00,00,850.68952
2023,01,18,17,00,00,824.33558
2023,01,18,18,00,00,763.80745
2023,01,18,19,00,00,835.22575
2023,01,18,20,00,00,945.72007
2023,01,18,21,00,00,886.25706
2023,01,18,22,00,00,1410.95618
2023,01,18,23,00,00,1132.37662
2023,01,19,00,00,00,676.26121
2023,01,19,01,00,00,570.49388
2023,01,19,02,00,00,534.47268
2023,01,19,03,00,00,543.13696
2023,01,19,04,00,00,477.28488
2023,01,19,05,00,00,455.37783
2023,01,19,06,00,00,596.648
2023,01,19,07,00,00,448.31257
2023,01,19,08,00,00,453.22541
2023,01,19,09,00,00,430.25688
2023,01,19,10,00,00,435.97875
2023,01,19,11,00,00,445.11014
2023,01,19,12,00,00,520.5084
2023,01,19,13,00,00,586.88625
2023,01,19,14,00,00,498.9338
2023,01,19,15,00,00,540.79079
2023,01,19,16,00,00,614.43646
2023,01,19,17,00,00,718.62111
2023,01,19,18,00,00,699.13835
2023,01,19,19,00,00,867.87335
2023,01,19,20,00,00,996.99172
2023,01,19,21,00,00,683.6493
2023,01,19,22,00,00,548.87176
2023,01,19,23,00,00,524.83069
2023,01,20,00,00,00,695.9907
2023,01,20,01,00,00,688.81907
2023,01,20,02,00,00,530.46734
2023,01,20,03,00,00,534.88923
2023,01,20,04,00,00,407.43991
2023,01,20,05,00,00,471.01725
2023,01,20,06,00,00,635.80128
2023,01,20,07,00,00,679.16054
2023,01,20,08,00,00,516.87273
2023,01,20,09,00,00,614.06729
2023,01,20,10,00,00,745.37661
2023,01,20,11,00,00,821.69516
2023,01,20,12,00,00,1147.98102
2023,01,20,13,00,00,1072.32127
2023,01,20,14,00,00,1103.41434
2023,01,20,15,00,00,1070.29583
2023,01,20,16,00,00,1033.38998
2023,01,20,17,00,00,1147.94481
2023,01,20,18,00,00,1599.60146
2023,01,20,19,00,00,1921.35398
2023,01,20,20,00,00,1867.67902
2023,01,20,21,00,00,1734.72398
2023,01,20,22,00,00,1682.92466
2023,01,20,23,00,00,1574.63584
2023,01,21,00,00,00,1841.01249
2023,01,21,01,00,00,1521.3315
2023,01,21,02,00,00,1419.03802
2023,01,21,03,00,00,1437.84932
2023,01,21,04,00,00,1171.58616
2023,01,21,05,00,00,879.5897
2023,01,21,06,00,00,725.71089
2023,01,21,07,00,00,627.87976
2023,01,21,08,00,00,485.02375
2023,01,21,09,00,00,475.85453
2023,01,21,10,00,00,430.759
2023,01,21,11,00,00,362.75453
2023,01,21,12,00,00,471.68086
2023,01,21,13,00,00,378.08782
2023,01,21,14,00,00,309.88542
2023,01,21,15,00,00,375.50829
2023,01,21,16,00,00,768.01402
2023,01,21,17,00,00,270.13475
2023,01,21,18,00,00,274.24702
2023,01,21,19,00,00,257.346
2023,01,21,20,00,00,242.30452
2023,01,21,21,00,00,202.67172
2023,01,21,22,00,00,171.12905
2023,01,21,23,00,00,144.47052
2023,01,22,00,00,00,135.54925
2023,01,22,01,00,00,140.10182
2023,01,22,02,00,00,116.94035
2023,01,22,03,00,00,114.83173
2023,01,22,04,00,00,123.62223
2023,01,22,05,00,00,94.69835
2023,01,22,06,00,00,89.00354
2023,01,22,07,00,00,135.15933
2023,01,22,08,00,00,166.10973
2023,01,22,09,00,00,179.33822
2023,01,22,10,00,00,232.68733
2023,01,22,11,00,00,240.64525
2023,01,22,12,00,00,193.47825
2023,01,22,13,00,00,234.70396
2023,01,22,14,00,00,204.86856
2023,01,22,15,20,00,272.98817
2023,01,22,16,00,00,298.4904
2023,01,22,17,00,00,346.44745
2023,01,22,18,00,00,273.95429
2023,01,22,19,00,00,296.92147
2023,01,22,20,00,00,354.0543
2023,01,22,21,00,00,345.9769
2023,01,22,22,00,00,424.46139
2023,01,22,23,00,00,464.39721
2023,01,23,00,00,00,545.93271
2023,01,23,01,00,00,424.1463
2023,01,23,02,00,00,317.18063
2023,01,23,03,00,00,321.33064
2023,01,23,04,00,00,302.41742
2023,01,23,05,00,00,233.7741
2023,01,23,06,00,00,231.79642
2023,01,23,07,00,00,207.46556
2023,01,23,08,00,00,219.68413
2023,01,23,09,00,00,245.02248
2023,01,23,10,00,00,299.02595
2023,01,23,11,00,00,358.04431
2023,01,23,12,00,00,473.63346
2023,01,23,13,00,00,486.35543
2023,01,23,14,00,00,436.58927
2023,01,23,15,00,00,504.76379
2023,01,23,16,00,00,478.37812
2023,01,23,17,00,00,478.43917
2023,01,23,18,00,00,550.93894
2023,01,23,19,00,00,504.44875
2023,01,23,20,00,00,449.1178
2023,01,23,21,00,00,465.61307
2023,01,23,22,00,00,373.58057
2023,01,23,23,00,00,388.85338
2023,01,24,00,00,00,385.26648
2023,01,24,01,00,00,321.19694
2023,01,24,02,00,00,332.36827
2023,01,24,03,00,00,335.85862
2023,01,24,04,00,00,391.45225
2023,01,24,05,00,00,416.99335
2023,01,24,06,00,00,359.05206
2023,01,24,07,00,00,351.91314
2023,01,24,08,00,00,362.40144
2023,01,24,09,00,00,374.66295
2023,01,24,10,00,00,370.9056
2023,01,24,11,00,00,354.47605
2023,01,24,12,00,00,374.48228
2023,01,24,13,00,00,650.01889
2023,01,24,14,00,00,384.5902
2023,01,24,15,00,00,415.89597
2023,01,24,16,00,00,380.07118
2023,01,24,17,00,00,436.38897
2023,01,24,18,00,00,560.30863
2023,01,24,19,00,00,366.4734
2023,01,24,20,00,00,352.95081
2023,01,24,21,00,00,321.58116
2023,01,24,22,00,00,251.86562
2023,01,24,23,00,00,208.18035
2023,01,25,00,00,00,182.28204
2023,01,25,01,00,00,178.08668
2023,01,25,02,00,00,189.21
2023,01,25,03,00,00,128.9071
2023,01,25,04,00,00,157.31034
2023,01,25,05,00,00,141.16185
2023,01,25,06,00,00,110.25438
2023,01,25,07,00,00,145.54462
2023,01,25,08,00,00,198.92995
2023,01,25,09,00,00,154.82747
2023,01,25,10,00,00,173.72293
2023,01,25,11,00,00,202.58995
2023,01,25,12,00,00,214.51028
2023,01,25,13,00,00,245.1974
2023,01,25,14,00,00,253.71839
2023,01,25,15,00,00,283.21425
2023,01,25,16,00,00,278.12932
2023,01,25,17,00,00,285.87112
2023,01,25,18,00,00,310.39112
2023,01,25,19,00,00,270.93261
2023,01,25,20,00,00,318.6666
2023,01,25,21,00,00,368.45872
2023,01,25,22,00,00,423.56448
2023,01,25,23,00,00,544.09118
2023,01,26,00,00,00,633.98317
2023,01,26,01,00,00,784.76676
2023,01,26,02,00,00,893.90665
2023,01,26,03,00,00,1017.16956
2023,01,26,04,00,00,1152.03634
2023,01,26,05,00,00,1263.28717
2023,01,26,06,00,00,1555.52067
2023,01,26,07,00,00,1661.87988
2023,01,26,08,00,00,1581.96897
2023,01,26,09,00,00,1243.95164
2023,01,26,10,00,00,545.71666
2023,01,26,11,00,00,296.37026
2023,01,26,12,00,00,401.43071
2023,01,26,13,00,00,899.69975
2023,01,26,14,00,00,1133.88466
2023,01,26,15,00,00,1233.348
2023,01,26,16,00,00,1069.79267
2023,01,26,17,00,00,1052.08734
2023,01,26,18,00,00,1037.5976
