Year,Month,Day,Hour,Minute,Second,HYY_AERO.cn
2023,01,20,05,00,00,496.23954
2023,01,20,06,00,00,619.33091
2023,01,20,07,00,00,574.43197
2023,01,20,08,00,00,516.83727
2023,01,20,09,00,00,598.81894
2023,01,20,10,00,00,683.54637
2023,01,20,11,00,00,743.7473
2023,01,20,12,00,00,1012.77517
2023,01,20,13,00,00,1068.02089
2023,01,20,14,00,00,1116.99913
2023,01,20,15,00,00,1120.57335
2023,01,20,16,00,00,1114.6227
2023,01,20,17,00,00,1215.99981
2023,01,20,18,00,00,1780.08632
2023,01,20,19,00,00,2083.36177
2023,01,20,20,00,00,2072.58307
2023,01,20,21,00,00,1957.44198
2023,01,20,22,00,00,1889.98257
2023,01,20,23,00,00,1762.315
2023,01,21,00,00,00,1974.08837
2023,01,21,01,00,00,1728.31013
2023,01,21,02,00,00,1616.68638
2023,01,21,03,00,00,1664.69344
2023,01,21,04,00,00,1336.67091
2023,01,21,05,00,00,1026.72863
2023,01,21,06,00,00,853.75516
2023,01,21,07,00,00,737.85531
2023,01,21,08,00,00,552.21243
2023,01,21,09,00,00,542.66985
2023,01,21,10,00,00,473.32742
2023,01,21,11,00,00,393.84333
2023,01,21,12,00,00,464.55121
2023,01,21,13,00,00,407.8003
2023,01,21,14,00,00,339.24879
2023,01,21,15,00,00,558.2444
2023,01,21,16,00,00,700.55288
2023,01,21,17,00,00,291.48849
2023,01,21,18,00,00,296.17455
2023,01,21,19,00,00,289.1103
2023,01,21,20,00,00,265.17045
2023,01,21,21,00,00,229.08303
2023,01,21,22,00,00,197.41227
2023,01,21,23,00,00,169.26637
2023,01,22,00,00,00,154.9497
2023,01,22,01,00,00,152.36379
2023,01,22,02,00,00,128.30531
2023,01,22,03,00,00,131.33682
2023,01,22,04,00,00,125.05682
2023,01,22,05,00,00,101.94651
2023,01,22,06,00,00,106.21833
2023,01,22,07,00,00,149.97697
2023,01,22,08,00,00,179.34076
2023,01,22,09,00,00,208.50803
2023,01,22,10,00,00,265.48333
2023,01,22,11,00,00,257.60879
2023,01,22,12,00,00,214.38318
2023,01,22,13,00,00,255.63621
2023,01,22,14,00,00,260.43652
2023,01,22,15,00,00,2159.28717
2023,01,22,16,00,00,330.93379
2023,01,22,17,00,00,380.45773
2023,01,22,18,00,00,291.32879
2023,01,22,19,00,00,326.21803
2023,01,22,20,00,00,375.02424
2023,01,22,21,00,00,387.16682
2023,01,22,22,00,00,487.68317
2023,01,22,23,00,00,541.92591
2023,01,23,00,00,00,608.52091
2023,01,23,01,00,00,480.54697
2023,01,23,02,00,00,368.77803
2023,01,23,03,00,00,368.32969
2023,01,23,04,00,00,350.82728
2023,01,23,05,00,00,274.30031
2023,01,23,06,00,00,222.69122
2023,01,23,07,00,00,218.59849
2023,01,23,08,00,00,236.89773
2023,01,23,09,00,00,235.11016
2023,01,23,10,00,00,337.38606
2023,01,23,11,00,00,389.98001
2023,01,23,12,00,00,499.71909
2023,01,23,13,00,00,492.08394
2023,01,23,14,00,00,474.02621
2023,01,23,15,00,00,601.62955
2023,01,23,16,00,00,484.77258
2023,01,23,17,00,00,495.76016
2023,01,23,18,00,00,542.54273
2023,01,23,19,00,00,542.24939
2023,01,23,20,00,00,520.69106
2023,01,23,21,00,00,521.98257
2023,01,23,22,00,00,439.71787
2023,01,23,23,00,00,450.23349
2023,01,24,00,00,00,421.22
