Year,Month,Day,Hour,Minute,Second,HYY_META.T42,HYY_META.T336
2023,01,15,20,00,00,NaN,NaN
2023,01,15,21,00,00,NaN,NaN
2023,01,15,22,00,00,NaN,NaN
2023,01,15,23,00,00,NaN,NaN
2023,01,16,00,00,00,NaN,NaN
2023,01,16,01,00,00,NaN,NaN
2023,01,16,02,00,00,NaN,NaN
2023,01,16,03,00,00,NaN,NaN
2023,01,16,04,00,00,NaN,NaN
2023,01,16,05,00,00,NaN,NaN
2023,01,16,06,00,00,NaN,NaN
2023,01,16,07,00,00,1.19812,0.76104
2023,01,16,08,00,00,1.26733,0.84183
2023,01,16,09,00,00,1.31817,0.8955
2023,01,16,10,00,00,1.15633,0.71483
2023,01,16,11,00,00,1.42133,0.98883
2023,01,16,12,00,00,1.60717,1.13517
2023,01,16,13,00,00,1.68217,1.21517
2023,01,16,14,00,00,1.51417,1.1445
2023,01,16,15,00,00,1.20467,0.83983
2023,01,16,16,00,00,0.93317,0.55533
2023,01,16,17,00,00,0.39,-0.00983
2023,01,16,18,00,00,-0.05233,-0.44633
2023,01,16,19,00,00,-0.51567,-0.81517
2023,01,16,20,00,00,-0.903,-1.13833
2023,01,16,21,00,00,-1.02117,-1.19467
2023,01,16,22,00,00,-0.79083,-0.9745
2023,01,16,23,00,00,-0.73117,-0.897
2023,01,17,00,00,00,-0.42667,-0.65183
2023,01,17,01,00,00,-0.40967,-0.62733
2023,01,17,02,00,00,-0.1175,-0.40933
2023,01,17,03,00,00,0.13917,-0.17183
2023,01,17,04,00,00,0.17017,-0.16917
2023,01,17,05,00,00,-0.12,-0.52533
2023,01,17,06,00,00,-0.01833,-0.39933
2023,01,17,07,00,00,0.04483,-0.341
2023,01,17,08,00,00,0.0425,-0.411
2023,01,17,09,00,00,0.02333,-0.4245
2023,01,17,10,00,00,-0.119,-0.5375
2023,01,17,11,00,00,-0.13683,-0.4975
2023,01,17,12,00,00,-0.05783,-0.4315
2023,01,17,13,00,00,0.05717,-0.34667
2023,01,17,14,00,00,-0.02783,-0.44683
2023,01,17,15,00,00,-0.15433,-0.51017
2023,01,17,16,00,00,-0.27,-0.59117
2023,01,17,17,00,00,-0.3615,-0.65317
2023,01,17,18,00,00,-0.5575,-0.83233
2023,01,17,19,00,00,-0.84617,-1.10383
2023,01,17,20,00,00,-0.8795,-1.1375
2023,01,17,21,00,00,-1.055,-1.30667
2023,01,17,22,00,00,-1.10133,-1.35433
2023,01,17,23,00,00,-1.11317,-1.37517
2023,01,18,00,00,00,-1.09467,-1.35433
2023,01,18,01,00,00,-1.14733,-1.41717
2023,01,18,02,00,00,-1.10267,-1.37833
2023,01,18,03,00,00,-1.07117,-1.3465
2023,01,18,04,00,00,-0.97217,-1.2395
2023,01,18,05,00,00,-0.84967,-1.11233
2023,01,18,06,00,00,-0.67817,-0.93667
2023,01,18,07,00,00,-0.45317,-0.7105
2023,01,18,08,00,00,-0.19017,-0.48183
2023,01,18,09,00,00,-0.091,-0.42767
2023,01,18,10,00,00,0.05133,-0.35617
2023,01,18,11,00,00,0.14667,-0.24233
2023,01,18,12,00,00,0.33633,0.01717
2023,01,18,13,00,00,0.41767,0.13933
2023,01,18,14,00,00,0.4185,0.09833
2023,01,18,15,00,00,0.31067,-0.00683
2023,01,18,16,00,00,0.03567,-0.27683
2023,01,18,17,00,00,-0.0555,-0.44183
2023,01,18,18,00,00,0.01417,-0.38267
2023,01,18,19,00,00,-0.07267,-0.5075
2023,01,18,20,00,00,-0.213,-0.5985
2023,01,18,21,00,00,-0.245,-0.54267
2023,01,18,22,00,00,-0.2765,-0.57733
2023,01,18,23,00,00,-0.23417,-0.54567
2023,01,19,00,00,00,-0.25983,-0.57883
2023,01,19,01,00,00,-0.289,-0.55183
2023,01,19,02,00,00,-0.37517,-0.62383
2023,01,19,03,00,00,-0.41933,-0.70033
2023,01,19,04,00,00,-0.457,-0.73533
2023,01,19,05,00,00,-0.51667,-0.8175
2023,01,19,06,00,00,-0.5985,-0.89633
2023,01,19,07,00,00,-0.6965,-1.01133
2023,01,19,08,00,00,-0.77867,-1.09517
2023,01,19,09,00,00,-0.83967,-1.1495
2023,01,19,10,00,00,-0.8555,-1.18083
2023,01,19,11,00,00,-0.83833,-1.15617
2023,01,19,12,00,00,-0.81967,-1.12217
2023,01,19,13,00,00,-0.87967,-1.17033
2023,01,19,14,00,00,-0.95683,-1.23017
2023,01,19,15,00,00,-1.058,-1.284
2023,01,19,16,00,00,-1.0905,-1.28117
2023,01,19,17,00,00,-1.19817,-1.31933
2023,01,19,18,00,00,-1.541,-1.59067
2023,01,19,19,00,00,-1.31417,-1.50417
2023,01,19,20,00,00,-1.061,-1.2555
2023,01,19,21,00,00,-0.517,-0.7275
2023,01,19,22,00,00,-0.38933,-0.62333
2023,01,19,23,00,00,-0.52217,-0.72717
2023,01,20,00,00,00,-0.71667,-0.92633
2023,01,20,01,00,00,-0.84083,-1.083
2023,01,20,02,00,00,-1.07233,-1.28817
2023,01,20,03,00,00,-1.29933,-1.5215
2023,01,20,04,00,00,-1.4745,-1.694
2023,01,20,05,00,00,-1.629,-1.85817
2023,01,20,06,00,00,-1.762,-1.99183
2023,01,20,07,00,00,-1.93533,-2.12917
2023,01,20,08,00,00,-2.21267,-2.3815
2023,01,20,09,00,00,-2.701,-2.82017
2023,01,20,10,00,00,-2.97717,-2.83417
2023,01,20,11,00,00,-2.38217,-2.6105
2023,01,20,12,00,00,-2.07017,-2.44583
2023,01,20,13,00,00,-2.087,-2.18867
2023,01,20,14,00,00,-1.80783,-1.6955
2023,01,20,15,00,00,-2.8215,-1.7365
2023,01,20,16,00,00,-3.99683,-2.1385
2023,01,20,17,00,00,-4.75283,-2.82067
2023,01,20,18,00,00,-5.0835,-3.60067
2023,01,20,19,00,00,-5.48317,-3.799
2023,01,20,20,00,00,-5.2425,-4.09417
2023,01,20,21,00,00,-4.85283,-3.91883
2023,01,20,22,00,00,-4.94517,-4.226
2023,01,20,23,00,00,-4.75617,-4.14067
2023,01,21,00,00,00,-5.07583,-4.4445
2023,01,21,01,00,00,-5.79117,-4.91517
2023,01,21,02,00,00,-5.90733,-5.05083
2023,01,21,03,00,00,-5.36633,-4.68183
2023,01,21,04,00,00,-4.28517,-4.35067
2023,01,21,05,00,00,-3.82517,-4.03367
2023,01,21,06,00,00,-3.28467,-3.478
2023,01,21,07,00,00,-2.9185,-3.12683
2023,01,21,08,00,00,-2.6355,-2.81717
2023,01,21,09,00,00,-2.35983,-2.5515
2023,01,21,10,00,00,-2.10133,-2.30733
2023,01,21,11,00,00,-1.85983,-2.12367
2023,01,21,12,00,00,-1.71183,-2.079
2023,01,21,13,00,00,-1.67867,-2.06167
2023,01,21,14,00,00,-1.75883,-2.0945
2023,01,21,15,00,00,-1.683,-2.02083
2023,01,21,16,00,00,-1.6775,-1.94733
2023,01,21,17,00,00,-1.48933,-1.804
2023,01,21,18,00,00,-1.398,-1.762
2023,01,21,19,00,00,-1.47217,-1.834
2023,01,21,20,00,00,-1.73333,-2.01233
2023,01,21,21,00,00,-2.06717,-2.3135
2023,01,21,22,00,00,-2.2715,-2.66567
2023,01,21,23,00,00,-2.61517,-3.05
2023,01,22,00,00,00,-3.19333,-3.5375
2023,01,22,01,00,00,-3.52717,-3.803
2023,01,22,02,00,00,-4.10233,-4.365
2023,01,22,03,00,00,-4.45767,-4.712
2023,01,22,04,00,00,-4.69133,-4.95633
2023,01,22,05,00,00,-5.09033,-5.382
2023,01,22,06,00,00,-5.27333,-5.55733
2023,01,22,07,00,00,-5.15683,-5.423
2023,01,22,08,00,00,-4.95333,-5.2125
2023,01,22,09,00,00,-4.9065,-5.173
2023,01,22,10,00,00,-4.76283,-5.063
2023,01,22,11,00,00,-4.77033,-5.09033
2023,01,22,12,00,00,-4.86567,-5.199
2023,01,22,13,00,00,-4.7445,-5.06333
2023,01,22,14,00,00,-4.87083,-5.18983
2023,01,22,15,00,00,-5.0675,-5.36767
2023,01,22,16,00,00,-5.39883,-5.682
2023,01,22,17,00,00,-5.70133,-5.99983
2023,01,22,18,00,00,-6.1315,-6.4285
2023,01,22,19,00,00,-6.331,-6.608
2023,01,22,20,00,00,-6.70517,-7.00367
2023,01,22,21,00,00,-7.05767,-7.346
2023,01,22,22,00,00,-7.14133,-7.41767
2023,01,22,23,00,00,-7.29067,-7.56367
2023,01,23,00,00,00,-7.53283,-7.81733
2023,01,23,01,00,00,-7.83467,-8.12433
2023,01,23,02,00,00,-7.87783,-8.13417
2023,01,23,03,00,00,-7.65483,-7.91217
2023,01,23,04,00,00,-7.5785,-7.8215
2023,01,23,05,00,00,-7.22433,-7.453
2023,01,23,06,00,00,-6.65317,-6.85417
2023,01,23,07,00,00,-6.07933,-6.2775
2023,01,23,08,00,00,-6.00533,-6.2355
2023,01,23,09,00,00,-5.76367,-5.97667
2023,01,23,10,00,00,-5.20583,-5.41183
2023,01,23,11,00,00,-4.61033,-4.8305
2023,01,23,12,00,00,-4.27717,-4.51683
2023,01,23,13,00,00,-4.2275,-4.4835
2023,01,23,14,00,00,-4.17517,-4.40267
2023,01,23,15,00,00,-4.033,-4.24233
2023,01,23,16,00,00,-3.858,-4.04267
2023,01,23,17,00,00,-3.68983,-3.8725
2023,01,23,18,00,00,-3.56333,-3.75317
2023,01,23,19,00,00,-3.52,-3.70133
2023,01,23,20,00,00,-3.40783,-3.5945
2023,01,23,21,00,00,-3.48317,-3.68983
2023,01,23,22,00,00,-3.93017,-4.15567
2023,01,23,23,00,00,-4.23967,-4.469
2023,01,24,00,00,00,-4.45567,-4.68933
2023,01,24,01,00,00,-4.62783,-4.8565
2023,01,24,02,00,00,-4.62017,-4.843
2023,01,24,03,00,00,-4.37667,-4.58217
2023,01,24,04,00,00,-4.05817,-4.25283
2023,01,24,05,00,00,-3.57533,-3.747
2023,01,24,06,00,00,-2.8325,-2.97717
2023,01,24,07,00,00,-2.1125,-2.24917
2023,01,24,08,00,00,-1.66733,-1.8195
2023,01,24,09,00,00,-1.13917,-1.3035
2023,01,24,10,00,00,-0.6895,-0.88817
2023,01,24,11,00,00,-0.44833,-0.68983
2023,01,24,12,00,00,-0.29133,-0.59383
2023,01,24,13,00,00,-0.17833,-0.51433
2023,01,24,14,00,00,-0.149,-0.464
2023,01,24,15,00,00,-0.2795,-0.53983
2023,01,24,16,00,00,-0.32492,-0.56373
2023,01,24,17,00,00,-0.288,-0.51667
2023,01,24,18,00,00,-0.28117,-0.51517
2023,01,24,19,00,00,-0.38317,-0.61267
